Time,p50,lower,upper
2025-01-01 00:00:00,104.58,83.32,126.94
2025-01-01 00:00:00,93.02,75.86,110.19
2025-01-01 00:00:00,107.2,85.55,124.25
2025-01-01 00:00:00,116.86,94.14,133.53
2025-01-01 00:00:00,104.44,84.74,126.91
2025-01-01 00:00:00,114.05,98.95,129.69
2025-01-01 00:00:00,110.71,95.28,133.08
2025-01-01 00:00:00,125.75,110.39,142.0
2025-01-01 00:00:00,115.31,93.77,137.43
2025-01-01 00:00:00,106.23,85.03,125.92
2025-01-01 00:00:00,130.79,112.19,155.18
2025-01-01 00:00:00,133.8,117.12,153.08
2025-01-01 00:00:00,104.59,86.99,128.26
2025-01-01 00:00:00,100.7,83.43,122.9
2025-01-01 00:00:00,121.37,104.42,138.02
2025-01-01 00:00:00,127.88,111.85,149.38
2025-01-01 00:00:00,117.91,96.48,134.76
2025-01-01 00:00:00,129.29,106.97,145.47
2025-01-01 00:00:00,154.76,134.11,171.85
2025-01-01 00:30:00,135.98,111.7,160.3
2025-01-01 00:30:00,111.97,91.86,135.69
2025-01-01 00:30:00,147.32,130.69,172.12
2025-01-01 00:30:00,140.22,122.23,156.14
2025-01-01 00:30:00,143.87,122.57,160.4
2025-01-01 00:30:00,131.97,107.49,147.21
2025-01-01 00:30:00,135.68,116.04,152.83
2025-01-01 00:30:00,134.61,117.46,156.07
2025-01-01 00:30:00,156.3,132.94,177.15
2025-01-01 00:30:00,122.82,102.72,142.94
2025-01-01 00:30:00,129.79,109.76,152.09
2025-01-01 00:30:00,146.18,127.59,166.14
2025-01-01 00:30:00,137.16,117.68,153.97
2025-01-01 00:30:00,140.33,122.01,164.2
2025-01-01 00:30:00,137.18,119.54,154.64
2025-01-01 00:30:00,151.52,127.92,169.49
2025-01-01 00:30:00,140.72,124.54,164.2
2025-01-01 00:30:00,142.06,122.86,162.78
2025-01-01 00:30:00,149.75,125.97,166.56
2025-01-01 00:30:00,146.6,129.41,170.09
2025-01-01 00:30:00,153.87,132.4,169.08
2025-01-01 00:30:00,144.22,121.13,166.3
2025-01-01 00:30:00,143.44,124.62,159.27
2025-01-01 00:30:00,142.75,127.48,167.37
2025-01-01 00:30:00,136.78,116.14,160.45
2025-01-01 00:30:00,139.75,114.93,160.37
2025-01-01 01:00:00,135.79,114.79,151.24
2025-01-01 01:00:00,138.53,118.44,162.99
2025-01-01 01:00:00,150.07,127.44,165.87
2025-01-01 01:00:00,141.14,121.2,161.89
2025-01-01 01:00:00,151.63,127.31,168.27
2025-01-01 01:00:00,140.19,122.75,161.2
2025-01-01 01:00:00,160.38,140.29,184.59
2025-01-01 01:00:00,157.31,141.45,177.14
2025-01-01 01:00:00,143.44,119.66,165.99
2025-01-01 01:00:00,155.0,137.69,175.27
2025-01-01 01:00:00,156.12,135.33,172.62
2025-01-01 01:00:00,134.57,110.38,157.85
2025-01-01 01:00:00,135.57,117.07,155.34
2025-01-01 01:00:00,152.03,133.55,175.5
2025-01-01 01:00:00,158.82,141.98,177.35
2025-01-01 01:00:00,146.37,128.92,168.1
2025-01-01 01:00:00,151.84,132.27,175.21
2025-01-01 01:00:00,141.13,120.59,161.59
2025-01-01 01:00:00,157.75,134.83,177.49
2025-01-01 01:00:00,152.57,133.79,169.24
2025-01-01 01:00:00,156.73,137.89,176.56
2025-01-01 01:00:00,136.31,118.7,156.41
2025-01-01 01:00:00,136.86,121.8,161.73
2025-01-01 01:30:00,148.73,133.22,166.87
2025-01-01 01:30:00,151.22,134.38,168.21
2025-01-01 01:30:00,125.72,101.52,145.27
2025-01-01 01:30:00,126.01,101.24,143.19
2025-01-01 01:30:00,139.72,121.44,162.35
2025-01-01 01:30:00,132.73,110.7,157.39
2025-01-01 01:30:00,134.06,112.14,150.58
2025-01-01 01:30:00,130.8,114.81,150.21
2025-01-01 01:30:00,121.35,104.96,139.3
2025-01-01 01:30:00,127.49,105.84,146.48
2025-01-01 01:30:00,124.84,107.08,148.18
2025-01-01 01:30:00,123.14,107.69,143.61
2025-01-01 01:30:00,123.72,105.56,140.26
2025-01-01 01:30:00,124.72,108.46,145.16
2025-01-01 01:30:00,131.04,109.58,154.44
2025-01-01 01:30:00,118.87,98.4,136.33
2025-01-01 01:30:00,127.25,110.71,149.42
2025-01-01 01:30:00,118.8,100.13,133.97
2025-01-01 01:30:00,121.46,100.54,145.48
2025-01-01 01:30:00,120.46,102.46,139.38
2025-01-01 01:30:00,136.0,113.5,157.83
2025-01-01 01:30:00,131.95,111.99,153.22
2025-01-01 01:30:00,114.6,90.8,138.62
2025-01-01 02:00:00,111.03,90.68,134.31
2025-01-01 02:00:00,116.59,94.64,136.06
2025-01-01 02:00:00,104.88,88.71,126.52
2025-01-01 02:00:00,103.29,81.43,126.28
2025-01-01 02:00:00,114.43,93.15,133.35
2025-01-01 02:00:00,118.83,100.57,135.72
2025-01-01 02:00:00,104.13,89.03,121.08
2025-01-01 02:00:00,108.65,87.45,124.86
2025-01-01 02:00:00,98.38,78.56,117.01
2025-01-01 02:00:00,89.16,71.67,109.99
2025-01-01 02:00:00,100.54,76.86,121.62
2025-01-01 02:00:00,78.89,55.23,99.92
2025-01-01 02:00:00,89.65,73.22,113.42
2025-01-01 02:00:00,104.13,81.2,121.47
2025-01-01 02:00:00,85.8,67.39,105.66
2025-01-01 02:00:00,92.75,76.82,112.17
2025-01-01 02:00:00,87.78,67.55,110.91
2025-01-01 02:00:00,69.12,54.11,93.85
2025-01-01 02:00:00,82.78,58.75,104.79
2025-01-01 02:00:00,85.87,62.71,108.1
2025-01-01 02:00:00,83.12,60.2,107.52
2025-01-01 02:30:00,67.1,42.26,82.99
2025-01-01 02:30:00,87.36,63.72,111.22
2025-01-01 02:30:00,79.18,64.11,102.67
2025-01-01 02:30:00,80.76,63.38,97.98
2025-01-01 02:30:00,83.78,62.04,101.19
2025-01-01 02:30:00,85.58,65.58,110.48
2025-01-01 02:30:00,72.2,55.39,87.71
2025-01-01 02:30:00,62.56,47.18,79.58
2025-01-01 02:30:00,79.33,62.42,103.26
2025-01-01 02:30:00,53.47,37.46,72.71
2025-01-01 02:30:00,57.57,33.24,72.59
2025-01-01 02:30:00,75.31,59.31,97.1
2025-01-01 02:30:00,78.73,56.58,99.18
2025-01-01 02:30:00,59.87,42.77,80.32
2025-01-01 02:30:00,46.26,31.04,70.62
2025-01-01 02:30:00,44.23,27.25,60.06
2025-01-01 02:30:00,70.18,49.81,85.24
2025-01-01 02:30:00,75.98,56.98,95.05
2025-01-01 02:30:00,52.76,34.07,70.74
2025-01-01 02:30:00,57.95,41.33,78.69
2025-01-01 02:30:00,59.21,39.99,76.81
2025-01-01 02:30:00,64.0,43.04,83.91
2025-01-01 02:30:00,59.6,34.71,80.57
2025-01-01 02:30:00,44.68,29.33,67.97
2025-01-01 02:30:00,56.6,31.89,74.66
2025-01-01 02:30:00,51.24,32.64,70.94
2025-01-01 02:30:00,61.04,37.4,76.51
2025-01-01 02:30:00,48.16,30.2,64.66
2025-01-01 03:00:00,53.33,38.21,74.96
2025-01-01 03:00:00,49.15,32.13,70.6
2025-01-01 03:00:00,47.87,31.3,68.9
2025-01-01 03:00:00,51.05,34.7,70.87
2025-01-01 03:00:00,60.08,40.44,79.84
2025-01-01 03:00:00,77.08,61.42,94.03
2025-01-01 03:00:00,47.41,26.88,62.88
2025-01-01 03:00:00,34.02,18.52,52.85
2025-01-01 03:00:00,38.86,14.04,59.02
2025-01-01 03:00:00,47.62,31.72,66.02
2025-01-01 03:00:00,64.84,44.27,87.08
2025-01-01 03:00:00,37.41,17.83,56.12
2025-01-01 03:00:00,26.17,8.46,44.26
